filename,xmin,xmax,ymin,ymax,class,height,width
0001000.jpg,310,445,104,443,1,339,135
0000999.jpg,194,354,96,478,1,382,160
0000998.jpg,105,383,134,244,1,110,278
0000997.jpg,157,493,89,194,1,105,336
0000996.jpg,51,435,207,347,1,140,384
0000995.jpg,183,536,156,283,1,127,353
0000994.jpg,156,392,178,266,2,88,236
0000993.jpg,207,449,119,213,2,94,242
0000992.jpg,47,348,213,346,2,133,301
0000991.jpg,135,410,126,265,2,139,275
0000989.jpg,71,332,218,400,3,182,261
0000988.jpg,444,549,95,324,3,229,105
0000987.jpg,102,198,90,314,3,224,96
0000986.jpg,269,391,173,452,3,279,122
0000985.jpg,336,456,98,370,3,272,120
0000984.jpg,141,266,93,409,1,316,125
0000983.jpg,169,291,123,425,1,302,122
0000982.jpg,442,565,90,430,1,340,123
0000981.jpg,168,302,30,395,1,365,134
0000980.jpg,219,361,101,476,1,375,142
0000979.jpg,240,349,81,364,2,283,109
0000979.jpg,134,235,161,351,3,190,101
0000978.jpg,206,314,216,395,3,179,108
0000978.jpg,319,431,120,413,2,293,112
0000977.jpg,30,294,140,283,2,143,264
0000976.jpg,86,400,238,364,2,126,314
0000975.jpg,88,416,164,307,2,143,328
0000974.jpg,225,398,119,387,2,268,173
0000973.jpg,227,343,90,327,2,237,116
0000972.jpg,212,361,107,431,2,324,149
0000971.jpg,275,399,36,347,2,311,124
0000970.jpg,314,451,63,378,3,315,137
0000969.jpg,296,466,52,360,3,308,170
0000968.jpg,118,248,164,411,3,247,130
0000967.jpg,203,308,161,432,3,271,105
0000966.jpg,276,393,19,272,3,253,117
0000965.jpg,179,309,49,395,1,346,130
0000964.jpg,223,333,51,394,1,343,110
0000963.jpg,55,154,56,384,1,328,99
0000962.jpg,207,298,75,374,1,299,91
0000961.jpg,225,333,37,278,3,241,108
0000961.jpg,3,59,178,307,1,129,56
0000960.jpg,227,329,25,271,3,246,102
0000960.jpg,4,53,183,303,1,120,49
0000959.jpg,186,278,60,306,3,246,92
0000958.jpg,187,314,203,439,3,236,127
0000957.jpg,137,307,75,361,3,286,170
0000956.jpg,170,291,69,390,3,321,121
0000955.jpg,182,295,109,389,3,280,113
0000954.jpg,157,303,118,476,3,358,146
0000953.jpg,283,452,10,363,2,353,169
0000952.jpg,176,380,19,397,2,378,204
0000951.jpg,147,256,245,472,1,227,109
0000950.jpg,101,237,70,472,1,402,136
0000949.jpg,120,275,2,466,1,464,155
0000948.jpg,235,387,2,451,1,449,152
0000948.jpg,70,187,210,397,3,187,117
0000948.jpg,3,45,305,439,2,134,42
0000947.jpg,241,365,46,479,1,433,124
0000947.jpg,114,214,249,432,3,183,100
0000947.jpg,3,61,285,458,2,173,58
0000946.jpg,18,123,192,368,3,176,105
0000946.jpg,134,260,0,386,1,386,126
0000945.jpg,129,256,146,464,1,318,127
